Model 3,Layer 3 FPR,Stacked Model Accuracy,Stacked Model Precision,Stacked Model Recall,Stacked Model F1 Score,Stacked Model ROC AUC,Stacked Model FPR
Random Forest,LightGBM,0.992772743,0.912126538,0.872268908,0.891752577,0.992335669,0.002969297
Random Forest,CatBoost,0.993174257,0.929602888,0.865546218,0.89643168,0.992182464,0.002316052
Random Forest,GBM,0.993575771,0.908629442,0.902521008,0.905564924,0.99242914,0.003206841
Random Forest,MLP,0.993403694,0.915224913,0.88907563,0.901960784,0.993046105,0.002909912
XGBoost,LightGBM,0.993116898,0.920353982,0.87394958,0.896551724,0.992758956,0.002672368
XGBoost,CatBoost,0.993403694,0.934782609,0.867226891,0.899738448,0.992579751,0.002137894
XGBoost,GBM,0.993116898,0.920353982,0.87394958,0.896551724,0.992758956,0.002672368
XGBoost,MLP,0.992887461,0.925858951,0.860504202,0.891986063,0.993067364,0.002434824
AdaBoost,LightGBM,0.992887461,0.925858951,0.860504202,0.891986063,0.990401234,0.002434824
AdaBoost,CatBoost,0.992772743,0.928702011,0.853781513,0.88966725,0.992544518,0.002316052
AdaBoost,GBM,0.992887461,0.925858951,0.860504202,0.891986063,0.990401234,0.002434824
AdaBoost,MLP,0.992141792,0.947265625,0.81512605,0.876242096,0.987820291,0.001603421
